timestamp,speaker,words,tags
00:00:00.989 ,Mya,"Okay, in which case I guess, we can start with the readings I don't know if you had a chance to look at any in particular... Are there any that stuck out to you that you'd be interested in discussing or talking about.",
00:00:42.000 ,Participant 002,"The comic was definitely interesting. It's just like, you know, being confronted with the fact that all your documents could be lying and then they're actively people who are still trying to lie to you.",truthfulness-and-accuracy;records-content;other-people
00:01:00.810 ,Mya,"In the way that they sort of portray how that works in the context of going through like an adoption agency like from your perspective, having worked for an adoption agency is that sort of strange that that someone like in a position, not unlike yours would be doing that [lying] and, obviously, if it's at a larger scale in the context of.",
00:01:29.430 ,Participant 002,"A bit different, because where I live there's actually a law that muzzle adoption agencies from giving out documents; you have to go through the government. I don't remember when, though, it was passed. So when I was there, we could give people their files, or copies of their files, and like direct them to an agent or the organizations in China or like the government and say 'You should probably try and contact them' but we didn't have much of a role beyond that in terms of searching. Its kind of like 'here's what we can give you, here at the contacts we can give you, but you are kind of on your own because we also don't know.' Because, like, we were handed the documents of what people told us.",records-access;adoption-industry;post-adoption-services;information-limits
00:02:39.210 ,Mya,yeah.,
00:02:39.870 ,Participant 002,"You know, and then I don't know when this law came into effect, or if potentially we just didn't realize it was there, but there is some kind of law that prevents adoption agencies from giving out information, even to the adoptee, they have to go through the province and I think like it's more of a like request it might take a while because: bureaucracy, but I don't believe it's closed or it's not closed anymore.",records-access;adoption-industry;post-adoption-services;information-limits
00:03:11.160 ,Mya,"Does the fact that that law adds another layer feel like it is obstructive to people being able to get information about themselves?",
00:03:28.440 ,Participant 002,"I would  imagine so. It seems stupid, like this in mine. It's information about me. Why can't you just give me a copy of it?",records-ownership;other-people
00:03:37.770 ,Mya,"mm hmm That was the thing, also within like the graphic novel that I thought was interesting was that the line right that they kept giving her was like oh this technically belongs to your birth parents like you have to have their permission to see it.",
00:03:50.400 ,Participant 002,"I think most provinces have like open records in Canada. I know in the States it's kind of a mismatch, but what they did when they decided to open up adoption records because it's relatively recently too, they were like 'if you're a birth parent, you can file ahead of time'--There was this grace period to say 'could you still seal off our names?' And so it's kind of a whoever does it first. So if the birth parent did it first and they didn't want their information in there, it doesn't matter what the adoptee wants, they got to it first when they're opening the records. I can't remember, but I think that was probably most provinces--if you're a birth parent, you can request to have your information still closed.",
00:04:51.300 ,Mya,"I know that we've sort of talked about how the the there's like significant like documentary differences between the Korean experiences and Chinese experiences and like even in the instance of like comparing what records you have versus like what your sisters have being different. Does the experience of reading or seeing or like just even like talking to people and realizing that they have more even if they're in a not the similar situation, is that uncomfortable or does that does that make you wish that you had certain things?",
00:05:41.000 ,Participant 002,"Not uncomfortable but it definitely makes me wish that I had it.",records-absence;records-desired
00:05:46.000,Mya,"I know you mentioned that like, in particular, for you, that the abandonment certificate was something that you really wish you had. Is that mostly, just so you would have the information or does that represents like something about I guess your situation that that makes it feel different and.",
00:06:08.700 ,Participant 002,"I think both. Yeah, to have a concrete, or at least as concrete as I choose to believe it is, You know, 'here's where we found you' sort of thing. I think... comforting isn't really the right word, but to know, but to have it, to know.",records-content;records-absence;records-meaning;truth-and-accuracy
00:06:36.480 ,Mya,"In the context of all of the documents that you've seen, that you know exist do you do you feel like there's anything that really was intended or written created for you.",
00:06:55.830 ,Participant 002,"I mean, not in any real official capacity, but like you mentioned last meeting, like the the scrapbook you know where that was for me.And they kept all the  documents they had right, that was for me so that I could have them. But the documents themselves, it's more of like an official thing; I don't necessarily view them as they were for me.",records-content;records-ownership;records-meaning;records-retention
00:07:27.360 ,Mya,"mm hmm.You know yeah is that.If that were something that were to be created hypothetically is that something that you would want enough an official capacity, like a document that is intended for an adoptee created by like a government agency?",
00:07:58.830,Participant 002,"I mean, it would probably be... You have the generic like birth certificate, the adoption certificate, like medical report, 'this child is healthy,' but I think.... Like my parents compiled all of these and kept them. I think the government should be going here are the records that we have of you that's not necessarily, just like the big official ones like a birth certificate right and go and give them to the adoptive parents or to the adoptee depending on how old they are and go 'here's our records of this child'.",records-ownership;records-retention;records-content;records-onus
00:08:28.410 ,Mya,"Is that something that should happen like right away? I mean I think something that's interesting about searches right is it tends to be that [adoption agencies] won't engage with you until you're actually an adult right so is that something that you would imagine or that you would want to happen, like at the time of adoption?",
00:08:55.620 ,Participant 002,"Yeah. I think first of all, it means everyone, you have it from the beginning. Like all of these documents, like I had them, since I was a kid, I just didn't care. But if I cared, but when I started to care, it was just a matter of going to our basement and digging them out. So I do, I can't imagine having to go like when I started caring and it's like well you're gonna have to do this and this and this and contact all these people internationally... And it's not even for searching, I just want to see them. I don't know if I would have bothered.",records-ownership;records-access;records-interaction
00:09:41.730 ,Mya,"Do you have a sense of like what changed or what or what sort of first, made like the note in your mind, like, 'I want to see these documents, this is something that has significance.'",
00:10:03.450 ,Participant 002,"When I was working out the adoption agency and we would receive people's documents and I was like 'well, I want to know what mine are, then, because now, I know what I should be looking for.",records-awareness;records-content
00:10:21.120 ,Mya,"Would you say that you were aware of their existence before that point or would you not have even known like to ask?",
00:10:39.900 ,Participant 002,"I was aware of some of their existence. I didn't know what a home study was, it was just like a thick book. I don't even think I'd looked at it before. It was because when I was applying to get my passport and my health card, it does say a birth certificate, but you can also use your citizenship card. From what I've read from posts in SAAT, it seems like a much less Labor-intensive process of gathering documents than in the States, so because it was like going through the list birth certificate? No, I don't have Canadian one, and then I was like oh, a citizenship card? Have it, that's all I need.",records-awareness;records-content;records-absence;records-interaction
00:11:24.450 ,Mya,"Does the fact that you don't really need the documents per se like to be able to go about your I guess legal like bureaucratic related life in Canada, like affect the perceived I guess importance of the documents.",
00:11:51.600 ,Participant 002,"I think it used to. Because I can't use my Chinese documents for anything really like I don't *need* it, I haven't really encountered a situation where I needed them, so before I really cared about it yeah that I didn't care about them. I mean, they've gotten more of a you know I guess kind of sentimental sort of importance.less so, like, they still don't really have much legal  importance to me, but I am definitely much more cognizant of them.",records-use;records-meaning
00:12:29.640 ,Mya,"yeah do you find that their existence is I guess Like validating of your racial or cultural like sense of identity in any way, any more than just the color of your skin or the fact that you know you were."
00:12:52.140 ,Participant 002,"Kind of? I've never really needed validating in that way. But it's proof that you know I had a semblance of a life in China.",records-meaning
00:13:09.210 ,Mya,"Do you this, despite the fact that they don't necessarily hold any.Information about them, do you do, you find that those documents also potentially symbolize or reference I guess a connection to your birth parents.Or is it more just you.Really.",
