timestamp,speaker,words,tags
00:00:06.750,Mya,"Excellent so i'm just to start off if you'd be willing to just sort of give a little bit of an introduction to yourself, who you are.",
00:00:34.200,Participant 001,"Sure, so hi i'm Mali. I'm twenty two and live in Canada. I'm adopted from Guangdong province. um yeah like the really brief history of it is that I was born in China started living with my mom when I was two years old. Officially legally adopted at seven and then moved to the US until I was fifteen and then moved to Hong Kong for like three years of high school and then move to Canada where I am now. let's see that and I really like to eat noodles and general Asian food. Oh, and I love coffee now did it needs to like it, but then became a barista and now like officially addicted to it.",adoption-story
00:02:48.330,Mya,"I would be interested in hearing a little bit more about like your adoption story, how you remember being sort of How, like all of the moves that you made all of the changes that happened, how you remember being like told what was happening or if there was sort of A time when you learned a little bit more about what happened in your life afterwards, like now that you're older and can sort of understand.",
00:03:17.940,Participant 001,"Okay, so then long story. The long story is: back before I was born my mom actually worked for the Holt Adoption Agency. That's actually how she met me; she was traveling around Asia. I'm still not totally sure what her job was, something about liaison project coordinating whatever the heck, but she did meet a lot of the babies. She was actually traveling in Guangdong around 1999 and then she met me and then, from what I heard she fell in love with me. and decided to actually move to China with my dad. the thing about my adoption story, though, is that it's a little bit more legally complicated because my was abandoned at five days old at or i'm told was a retirement home and I guess whoever found me took me to this Christian lady who was running an unofficial orphanage And like if you know anything about the laws in China their various tricks about orphanages and shit but yeah they took me to her, she was running like an unofficial orphanage I think on the outside, it was actually supposed to be a day care Center for kids with disabilities in China, like farmers if they couldn't take care of their disabled kids didn't have her watch over them for. I think either the day or I don't know what anyways she also side hustle was taking care of a lot of other babies. But the problem with that is she was kind of illegal because she didn't actually pay all the legal processing funds or whatever to be considered an orphanage so everyone there didn't actually have any paperwork. So I didn't have any paperwork at all, so it basically didn't exist so. i'm not really sure how my mom was actually involved with that I think holds was probably like giving her supplies to help her take care of the babies, probably, but like still not illegal orphanage anyways she moved my mom have to China run. I should know when she moved I just know I started living with her when I was two years old. This is where they told me yeah so I started living with her in China, when I was two years old, and since the whole process legally was very complicated because you know no starting paperwork. It wasn't until I was seven that everything was finalized legally and then I got my American passport and then we were able to finally move out of China to the US So, with the actual official adoption They had to actually say that I came from a different legal orphanage which I had never actually lived in before, which is why I know any paperwork connected to that is complete bs and no way true because i'm not totally sure about it, but I think, because my memory is a little bit fuzzy that they actually use the identity of another orphan there who didn't really make it and I guess died at some point, but had like the similar age and name as me, which is how I ended up with two birthdays so my legal birthday is actually not what my Estimated birthday is.", adoption-story; adoption-industry; logistics; legality
00:07:05.670,Participant 001,"And my mom only knows my estimated one because she had actually met me before my legal one. yeah so any actual paperwork before I was legally adopted would actually be tied to that identity and not me at all, but then. yeah my mom managed to pull some strings and actually get me adopted with her, because at that time I think she was one of the last women to be able to adopt as a single mother, because during that time, my mom and dad got divorced when they were in China, it was yeah complicated yeah and then moved to the US after that yeah.", adoption-story; logistics
00:07:50.310,Participant 001,"Oh, I guess, I also grew up in this weird evangelical Christian Community full of a bunch of international missionaries, who all had adopted other Asian children, and when I ever recount that whole experience to other family members or friends, they are like oh yeah that sounds very culty and when I think back on it, it *was* kind of culty. My parents used to be bound to that I found jellicoe and then my mom became an atheist at some point in China. And I think my dad just kind of became less intense yeah.", adopted-culture
00:08:43.980,Mya,Do you remember when you first learned about how complicated your situation was?,
00:08:55.950,Participant 001,"not really my mom has always been very transparent about the whole process to me, also because I do remember being told certain things like. In China, they would occasionally take like a random census check or whatever, and like knock on people's doors and ask who's living there and I. Think, I remember at some point my mom did tell me if that ever happens to basically hide in my room, because at that point, it didn't have any legal paperwork. But if they did find me I think she probably could have figured something out since she was kind of fostering me. But I also do remember I couldn't go to the school that my dad was teaching at because he taught at an international Christian school, which was more official and kind of required the students to have passports and whatnot. At that point, I didn't have any real legal paperwork or passport so I had to go to a less the showy Christian missionary school. It was probably like the more casual and cheaper and less intense option that didn't actually require a bunch of paperwork to get into, so I guess i've always known that my situation was a little bit different. I don't think I fully comprehend it, but I just kind of accepted as the reality as it was. And also like a good chunk of my friends at that age were also adopted too because, you know, cult, a community that had a bunch of international missionaries which, when I think about it now seemed like they were just collecting children but sure whatever.", adoption-story;logistics; legality; white-saviorism
00:10:44.700,Mya,"So I was going to ask you, like what your experience was living in China, but being the child of someone who was not Chinese but where you mostly just living within that Community so it wasn't as much.",
00:10:58.110,Participant 001,"Yeah, mostly. Unfortunately I never really picked up Mandarin very well. My parents did have like a Chinese nanny who would take care of me most of the time, since they were both working full time, so I think I spent a good chunk of my time with her. #TODO I called her wonky and she took care of me, she taught I think her English wasn't super great, so I think we did speak a little bit of Mandarin but I wasn't very great at it. And I mostly just grew up in with English and stayed within the community, mostly. Because it was kind of like in a gated district area, so I couldn't really travel outside of about myself, and it was those two #TODO yo. And everyone kind of lived in the same area and they always have like a lot of Community meetings and gatherings anyways because you know church Bible studies, Bible bowling I don't know. I mean the kids were fun, but the adults were terrifying. Seriously, like super strict.I don't think I would be able to survive in that community now because I did actually reach out to a few of them quite a few years ago--like after getting back on Facebook and realizing oh, maybe I should connect with my old childhood friends, and the figure out what they're up to--and then realized 'Oh, thank God, I didn't get adopted into those families.' If it's not totally obvious, I'm gay, and that community is, I found out later, kind of mildly homophobic. They are missionary enough that they don't exactly want to start screaming yelling that you're going to go to hell, but they are like still evangelical enough that they will internally think 'oh yeah they're definitely to hell.' But yeah also depends on who you ask. I haven't actually talked to the adults, yet, because they still scare me even to this day. But their children are all right.", birth-culture-interaction; adopted-culture
00:13:25.350,Mya,When you move to the states did you experience a lot of culture shock or was it sort of not as much because you had been living in that like international community.,
00:13:38.130,Participant 001,"There was definitely some culture shock. Although I think I took it mostly as just being very excited because when I lived in China, a lot of the missionaries were American too. And my parents definitely missed the US because they couldn't visit with me since I couldn't fly, so they were kind of stuck there for like pretty much seven years. So they kind of talked up the whole thing to me and I did watch like some American TV when we could find like an English version of it. So I kind of saw the whole experience I was like oh my God and finally going to the US, land of the freedom and bald eagles and pancakes.", adopted-culture
00:14:18.990,Mya,Do you think you identified as American?,
