timestamp,speaker,words,tags
00:00:06.240 ,Mya,alrighty so we can start.,
00:00:20.700 ,Participant 001,um no no preference.,
00:00:27.630 ,Mya,"let's just start with the reading, then I don't know how much you were able to or wanted to look for you.",
00:00:34.500 ,Participant 001,"yeah I did look through, and I think.",
00:00:46.140 ,Mya,yeah no problem.,
00:00:59.100 ,Participant 001,interesting.,
00:01:12.900 ,Mya,"Technically, yes.",
00:01:14.760 ,Participant 001,Okay yeah.,
00:01:17.040 ,Mya,A little bit our I guess experimental and it's forum but yes.,
00:01:20.520 ,Participant 001,yeah or is all of this more like current adoptee stuff.,
00:01:25.950 ,Mya,"yeah it is it's sort of an interesting thing I don't know how often or, if at all, you engage or seek out or consume like adoption related media, but a lot of times I found it, it tends to focus or be produced more concerning Korean and options, rather than Chinese.",
00:02:02.250 ,Participant 001,"yeah, that is true, I did not know very much about the whole Korean culture or Korean adoptee stuff until like the Facebook group.",
...,,,
00:02:52.590 ,Mya,"i'm not expecting you to have like an essay prepared or anything.Like that I guess it was more just sort of curious about if there was anything that you.found to be sort of similar to your experience or that you found was contrary to like how you feel about your experience.And if there, I guess, like thinking about the fact that there isn't sort of a similar documentary culture.around like producing things in relation to Chinese adoptees whether or not this like type of material still resonates with you, or if it's just kind of two different to to really feel like something you can.really do.",
00:03:40.200 ,Participant 001,"I did notice with the first poem the orphan considers the hand of God.not actually kind of reminded me of a poem actually read in one of my English lit classes, which God I don't remember the name of that i'll try to look it up and. They're like pretty different, but this one, I was surprised that I like so much emphasis on I guess ancestors and names. Most of the other angsty adoptee stuff from Chinese adoptees I tend to find have more to do with like the immediate parents, rather than past ancestors.and also the whole gender thing because one child policy and whatnot in China.yeah, I guess, I never really realized that wasn't as big of a factor and other countries.",asian-diaspora;other-adoptees;adoptedness-centrality
00:04:54.750 ,Participant 001,"Yeah it was a good poem oh yeah. That one definitely had more to do with acknowledging like the reasons for abandonment. Mm hmm which I didn't really find to what I guess for the Korean stuff doesn't really talk as much about it. But yeah. Definitely interesting to read. Don't totally understand a whole bunch of it, though. I don't really know too much about Korean culture mm hmm.What does the centaur have to do with anything.",
00:05:36.360 ,Mya,"Honestly, no idea.There are certain parts that I find to be like particularly interesting or useful in terms of how like I think about. The role of records and there are other things where it's a little too little to poetry for me.",
00:06:02.910 ,Participant 001,"yeah I feel like maybe two years ago I probably would have figured something out more but no, no longer in school so.",
00:06:20.340 ,Mya,"Have you watched any of like the recent documentaries that have been coming out or the movies, or anything.",
